post_id,autor_id,texto,contagem_reposts,contagem_likes,timestamp
at://did:plc:ftwbbrlxqlv7odizvng2djfj/app.bsky.feed.post/3m43cjppcz22w,docvanden.bsky.social,"Pumpkin carving is a big deal for my crew. Here is this year’s batch.  We’re all feeling pretty good about how these turned out.

My youngest even made one for our kitty, who adopted us just before Halloween some 10 years back. (His name, obviously, is Jack o’Lantern, “Jack” for short.)",3,13,2025-10-26T06:45:03.387Z
at://did:plc:dac42h76x2ocfd6bjrnbr6if/app.bsky.feed.post/3m43bfuty422k,liluwubxtch.bsky.social,"meet chora, my silksong OC.

more details to come :3

""they called her voice a curse, her silk a mockery of the cursed weave.
in seeking to join silence and song, she unmade herself.
now she walks as the Hymn itself--unwoven, unending""",0,0,2025-10-26T06:25:00.825Z
at://did:plc:ezelfyc4mlebf346iimmeh5m/app.bsky.feed.post/3m42y5mzu322l,kimmithy.com,Thats what  I think  with silk song & people complaining its too hard. Im like bruh... its suppose to be hard .,0,1,2025-10-26T03:39:20.533Z
at://did:plc:hf7ppxvkrg45a4o2tjrsads5/app.bsky.feed.post/3m42xigz64s2w,spoopyricotta.bsky.social,"I BEAT SILK SONG 100% FINALLY!!!, Thank u guys for watching and yapping with me. Ur all so cool! Also thanks to @p4tc4t.bsky.social and TraeLopsin for the raids! We also raided @synomin.bsky.social whose doing a hand cam, Anyway see you guys soon! #vtuber #twitch",1,2,2025-10-26T03:27:29.575Z
at://did:plc:bc63rdcg2daujvpwlidpptns/app.bsky.feed.post/3m42x6oecu22e,jesterfreak.bsky.social,ayo gonna stream some silk song watch out www.twitch.tv/foxyfooltv,1,2,2025-10-26T03:22:01.736Z
at://did:plc:t3qmkkahbbiau4iuu4c6o5ry/app.bsky.feed.post/3m42wtnfbh22c,squatchdaddy.bsky.social,I got silk song and I'm gonna play more tonight 😩😩😩,0,0,2025-10-26T03:15:51.621Z
at://did:plc:6koxbejirlyauc5ukqjigpg2/app.bsky.feed.post/3m42u2bfkye2f,pap3rtigers.bsky.social,"🧵 #allshipsweek #pap3rthread #codfic #ghoap #ghostsoap #soapghost — ""inspired by song lyrics"" (provider — sleep token) (brief nsfw)

— i wanna be your provider... garner you in silk like a spider —

Johnny didn't look up when the door opened. 

He didn't have to, really. (1/28)",6,37,2025-10-26T02:25:52.510145+00:00
at://did:plc:ckz2wfhn7wpucg3yf5kanvmt/app.bsky.feed.post/3m42tlujacc2q,cynocardia.bsky.social,"yes T_T this one streamer just speeding thru all the silk song dialogue. which is also funny because they're a speedrunner. and i don't mind ? turning the thing back. <- last five seconds

i get it if i want ? all of what i want i should play it myself

but i don't have money,",0,1,2025-10-26T02:17:49.429Z
at://did:plc:veuzpeuxyeej5uotbyxv6qep/app.bsky.feed.post/3m42sxwndn22q,black-mzfrizzle.blacksky.app,My musical nightmare: Silk da Shocker and Giveon on a song together 🤣🤣🤣,0,1,2025-10-26T02:06:40.573Z
at://did:plc:ojjn6o2h6ug3zda7rf3pyb3n/app.bsky.feed.post/3m42qd4dkg222,at-i.bsky.social,barq.app/@atsi Awah I think I do be pretty spoopy if you like silk song that is ^°^,0,0,2025-10-26T01:19:14.371Z
at://did:plc:js52freb4xlfc6i3xikns55o/app.bsky.feed.post/3m42p7i7bds2x,tdnightgaming.bsky.social,"www.twitch.tv/trinitynight...
Its time to silk more song. Come watch and vibe!
#aroace #vtuber #silksong",0,1,2025-10-26T00:59:18.899Z
at://did:plc:l2tfnowh4ka3cyhjtsufm7tx/app.bsky.feed.post/3m42o7nrp522q,shinjithefox.bsky.social,And I loved every minute of it (except for the Savage Beast fly. Screw that thing),0,2,2025-10-26T00:41:30.999Z
at://did:plc:nfihy2ebibrq23qwnptbmvfp/app.bsky.feed.post/3m42ndsojrs2k,berntkat.com,I got an ending for Silk Song! On Act 2??,0,4,2025-10-26T00:25:56.620Z
at://did:plc:lghbj63icscfykqtulah22se/app.bsky.feed.post/3m42aobpnoc2u,nightwastaken.bsky.social,"pior que eu n toquei no silk song faz um mes e eu meio que perdi o hype de jogar... sei lá, deu uma preguiça de continuar no momento",0,2,2025-10-25T20:39:09.286Z
at://did:plc:xq2ypilyk43dwrkuiukiq47l/app.bsky.feed.post/3m426kybzbk27,alexxbollen.bsky.social,"Now that I've rolled credits on the good ending, I've decided that Silk Song was like 15% too hard. I found myself feeling more relieved than excited or happy anytime I progressed past a difficult section or boss. A great game diminished by too much slog. 7/10",0,1,2025-10-25T20:01:31.252Z
at://did:plc:2w54f4c4pgmycr2zwszoqxax/app.bsky.feed.post/3m423tyaf4c2u,astar115.bsky.social,"SILK SONG FINAL!!!
www.twitch.tv/a_star_115",0,0,2025-10-25T19:12:51.959Z
at://did:plc:uvg2wgp4kuydmlxwlrvy3jlq/app.bsky.feed.post/3m422zznav22n,donryu.bsky.social,"because i infrequently had booze last night and didn't want to go to bed with a hint of a buzz, i stayed up way too late playing silk song and now i'm at 99%  completion of the game.

It was good seein' ya again Herald",4,45,2025-10-25T18:58:21.020Z
at://did:plc:hf7ppxvkrg45a4o2tjrsads5/app.bsky.feed.post/3m3zuxhviq22w,spoopyricotta.bsky.social,"Hey guys, stream today will be very delayed sorry, I think I will need another hour or 2 but see you guys eventually today :3 were gonna maybe beat Silk Song mostly 100% today! #vtuber #twitch twitch.tv/Spoopy_Ricotta",2,1,2025-10-25T17:09:32.852Z
at://did:plc:yo6xfmlszjjloxmhene33guj/app.bsky.feed.post/3m3zsmqma2s2f,stevenperkins.bsky.social,Just saw someone at Canning Town tube station in absolutely flawless Silk Song cosplay,0,0,2025-10-25T16:27:45.406Z
at://did:plc:nh4k3pbg6qgwvaysxgp55hdm/app.bsky.feed.post/3m3zr4v7okk27,desperadodave.bsky.social,"I also found a bunch of videos on Google, I just looked up ""Best silk song in 5 hours""",0,1,2025-10-25T16:00:59.626Z
at://did:plc:4hxt3w452ldgilolsbdg2hwt/app.bsky.feed.post/3m3zqak74gc2n,callofkathulhu.bsky.social,"90% completion on Silk Song as of rn, hopefully wrapping it up before I got away for next weekend",0,1,2025-10-25T15:45:08.550Z
at://did:plc:uujfxo4btwyg4mmwcxnjb5jl/app.bsky.feed.post/3m3zntwyyvc2g,cinderhazefics.bsky.social,"if i start playing any video game, it steals my life for at LEAST one full week, when silk song came out it was OVER for me 😭 i've been watching some streamers play hades 2!",0,1,2025-10-25T15:02:18.289Z
at://did:plc:vk6axgfnuxvbiz2pbovh5hip/app.bsky.feed.post/3m3znsn5hns2z,liverterrors.bsky.social,"Let’s sing a song of silk together. That’s right, it’s Silksong. Voice over from me for better or worse. Feel free to join if you want and have a good day or night. twitch.tv/liverterrors",0,0,2025-10-25T15:01:34.395Z
at://did:plc:55qujgfu2jaizgektv2jkxtm/app.bsky.feed.post/3m3ziqwtub22s,crimmy10.bsky.social,"NOOOOOOOOOOOOOOOOO!!! NONONONNOOOOOOOOO!!!!!
Dammit, I'm done for... Silk Song achievement just won't unlock!!! Ahhhhh, there's no way I can beat it in 5 hours...💦=͟͟͞͞⏰

Why can everyone else beat it!? I can't believe it. Am I just terrible? Someone teach me the technique! PLEASE!!!",0,5,2025-10-25T13:31:08.748Z
at://did:plc:jl7cgb6vg6asyukpj7x3ae36/app.bsky.feed.post/3m3yzbzaq2s2y,philschichtig.bsky.social,I don't understand how people could have possibly finished Silk Song already. I've been playing for what feels like every minute of free time I've had since it came out and I'm still not done,0,0,2025-10-25T08:54:21.824Z
at://did:plc:manjqn6222sqrh4osfqaqscq/app.bsky.feed.post/3m3ykyge5sc2c,un0rth0d0kz.bsky.social,"Inktober 2025 Day 18

Another Silk Song oc; I got the Hollow Knight fever!
""The Plundersmith,"" based off a real insect that makes a portable home from sand and sticks it glues together.

#inktober #silksong #hollowknightsilksong #oc #originalcharacter #inksketch #marker #handdrawn #traditionalart",0,1,2025-10-25T04:38:27.631Z
at://did:plc:manjqn6222sqrh4osfqaqscq/app.bsky.feed.post/3m3ykvsvops2c,un0rth0d0kz.bsky.social,"Inktober 2025 Day 17

Did an original character based on the world of Silk Song, mixed with some real world historical fashion.

#inktober #inkart #silksong #hollowknightsilksong #oc #originalcharacter #spear #shield #history #warrior #inksketch #marker #markerart #handdrawn #traditionalart",0,5,2025-10-25T04:37:00.124Z
at://did:plc:aqv34xdvdpizxlmcbs45zj6v/app.bsky.feed.post/3m3yfzmswok2u,jewelarachnid.bsky.social,Sounds like a silk song character,0,2,2025-10-25T03:09:39.253Z
at://did:plc:qipojingxxnzj2d6kbkwgjz2/app.bsky.feed.post/3m3yfth6opc2w,gayaliensyndrome.bsky.social,"Had a dream the other night that @commandersterling.bsky.social  released a video after a long hiatus but it was just their POV inside the Corn Flakes Creature mask messily playing through Silk Song. (Messily because they had on the claws). Everyone commented as normal, mostly agreeing.",0,0,2025-10-25T03:06:12.022Z
at://did:plc:mwtpca6qjlcvhey22u7ykbrp/app.bsky.feed.post/3m3yfp5iats2y,parfaitbegait.bsky.social,"SILK SONG STREAM! WAHOOOOO!

www.twitch.tv/ParfaitBeGai...",0,0,2025-10-25T03:03:47.635Z
at://did:plc:kwouzx37ty3nrnsffixp7edq/app.bsky.feed.post/3m3y4dbn5f22n,lemon6nat.bsky.social,"""Games Song. Silk Song."" twitch.tv/lemon6nat",0,0,2025-10-25T00:16:05.659Z
at://did:plc:mrt5jnrxhmvjzgkmmtulkrzs/app.bsky.feed.post/3m3xwjlbnsc2w,vndois.woke.cat,she silk my song till i hollow my knight,0,0,2025-10-24T22:32:14.646Z
at://did:plc:uupnppf3cko6sc64w2g5l2ot/app.bsky.feed.post/3m3xvtaojqs2i,captaincube.bsky.social,"i finished silk song today, i didn't understand a lot of it but she's cool",0,11,2025-10-24T22:19:45.336Z
at://did:plc:idh3fn7cldq4l2ouz2rv2phu/app.bsky.feed.post/3m3xv3y5oak2l,miijii-kaichou.bsky.social,"Yo chat, I'mma get to my ""Hollow Knight Silk Song PUBG Fortnite CSGO Call Of Duty Black Souls 8 Deluxe Edition the Sequel.""",0,0,2025-10-24T22:06:44.643Z
at://did:plc:sif62n6pvft4vqa4sbzifnqu/app.bsky.feed.post/3m3xnpr2yc22k,aitorierana.bsky.social,"Eso me ha pasado, pero con el Silk Song XD por eso me he ido a este",0,3,2025-10-24T19:54:38.368Z
at://did:plc:dlsrrrnudstjzbbscoszvrj5/app.bsky.feed.post/3m3xkpnjc3c2u,megamonkeymike.bsky.social,Happy friday more boss fights in  Silk song day 8 twitch.tv/mega_monkey_...,1,1,2025-10-24T19:00:53.417Z
at://did:plc:rzvyl6ysorcrqgf46hlckdpw/app.bsky.feed.post/3m3x3l6u7gc2j,tytraverse.bsky.social,Today we will have our come back stream with Hallow Knight!! I have Silk Song in the wings and what better way to get things moving!! Tonight - 7EST Twitch.tv/tytraverse!!,0,2,2025-10-24T14:29:57.700Z
at://did:plc:clvryfg3rblweihdxtk7tvge/app.bsky.feed.post/3m3wirv7vtc2z,zylpherenuis.bsky.social,"Played Hollow Knight: Silk Song for the first time. So far I like it. However, I got a bit sluggish and sleepy around the 2 hour mark. I will continue when my body is in better condition.

www.youtube.com/watch?v=3-rL...

kick.com/zylpherenuis...

www.twitch.tv/videos/25999...",0,0,2025-10-24T08:53:41.385Z
at://did:plc:sl2aapte5okz5kgackgwdooh/app.bsky.feed.post/3m3wer3q5ms2x,crimsondew.bsky.social,"Silk song spoilers
Beat silk song missing 100 percent tho im at 99 and im pretty sure i have to beat the flee carnival for it but i also cant beat the gosh dang flee juggle

Also started a second run to get the cursed child ending going well 6 hours in ive just beaten the cog work dancers

#silksong",0,0,2025-10-24T07:41:39.686Z
at://did:plc:2a4ishdeosg5gbk2udu5i4gt/app.bsky.feed.post/3m3welbikls2u,pudge.bsky.social,"I gotta do in shorter sessions cuz my hands/wrists are still not 100%.

(Courtesy of Silk Song)",0,98,2025-10-24T07:38:21.690Z
at://did:plc:otxjjwosthtfr7nldwscekn2/app.bsky.feed.post/3m3wc6qkzdc2f,sillyseacreatur.bsky.social,"You could even say...

She can 'silk' her (song) way back together!

The (song) is silent.",0,1,2025-10-24T06:55:36.521Z
at://did:plc:agspv3gxd6lgkmt4p4ugbu6b/app.bsky.feed.post/3m3wbvojw7k2e,gyggles.bsky.social,1% less frustrated now that I actually beat the moth but void damn I'm going to need a hot minute before I feel ready for Silk Song.,0,0,2025-10-24T06:50:32.399Z
at://did:plc:zn3wxe3mhwcy5spssl43bbog/app.bsky.feed.post/3m3w3e2gmkk2h,itsjustd3z.bsky.social,"Successfully did a lot in Silk Song (for me). I am pleased. Tonight, I shall rest well. Knowing I did not tweak, crash out, nor give up. I bid thee…a good night 🌙",0,2,2025-10-24T04:53:18.442Z
at://did:plc:hfur64jpebcgngar6u2fdct2/app.bsky.feed.post/3m3vyw3io422x,lilbambijoe.bsky.social,Hot take? Silk Song is fun and hard. I have to speak my truth,0,0,2025-10-24T04:09:42.312Z
at://did:plc:yjxx7skcoi74ngcvhcx4sxtw/app.bsky.feed.post/3m3vudfenwc2c,wanderingzero.bsky.social,"Silk Song done! It was a great game, most of my complaints are minor, and I had some problems with how some of the boss fights played out. Overall it was a great follow up to the original Hollow Knight. I think it was a 4/5*",0,0,2025-10-24T02:47:40.160Z
at://did:plc:pvxx2ltbhn6l4nwzu6qekpvm/app.bsky.feed.post/3m3vsdejigs2f,darioegay.bsky.social,agua pica e silk song,0,1,2025-10-24T02:11:51.791Z
at://did:plc:rqiqn7rahwlv2mimwnsg4qk7/app.bsky.feed.post/3m3vnfgxlpk2e,chantingcrow.bsky.social,"Apparently I made Pope OP. He has a fire wing attack, eye beams, and a minion mob ... I think froggy might be playing too much hollow Knight silk song, just saying",0,2,2025-10-24T00:43:32.750Z
at://did:plc:5h7ys6knap3fefpxguvoj75o/app.bsky.feed.post/3m3vne4o65c2n,azianperc.bsky.social,"Neither, the song is played on Silk",0,1,2025-10-24T00:42:48.402Z
at://did:plc:7vfgwsfhk5pwm7bn3cgqn3bl/app.bsky.feed.post/3m3vn5vkjks2i,inkarus.bsky.social,Does the song sound like silk being made or is it that the sheet music is made out of silk?,0,1,2025-10-24T00:39:19.615Z
at://did:plc:5rfkb2nh7l34lz7erdwvww4k/app.bsky.feed.post/3m3vebtoyxk23,nokodragon.bsky.social,"GUYS, Its time to see mroe into this song of silk? one may call it a silksong? IDK and IDC lets gooo:
All over at:
www.twitch.tv/nokoadragon",0,0,2025-10-23T22:00:28.207Z
at://did:plc:ruvpeugux6yuda7u3ppbunyr/app.bsky.feed.post/3m3vayesfec2y,manser.bsky.social,"🦇🔴Live Now 🔴🧛‍♂️                         
Taking a break from Pokemon so we can start Silking it again! Starting Act 3 of Silk Song right now! 

Link in bio!",0,0,2025-10-23T21:01:29.360Z
at://did:plc:awugkgx6yvdohkvigkci2rl2/app.bsky.feed.post/3m3vatdoqvc2s,shonsilva41.bsky.social,"Ta na hora de mais uma live, e voltando com Silk Song

www.youtube.com/watch?v=6siB...",0,0,2025-10-23T20:58:40.433Z
at://did:plc:nmoompc365kq5pqjwk6m4lv7/app.bsky.feed.post/3m3v4u64ve22n,vysuals.bsky.social,"New short for today, explaining the requirements for triggering act3 in Silk song

youtube.com/shorts/25nQY...",0,0,2025-10-23T19:47:33.192Z
at://did:plc:h25avmes6g7fgcddc3xj7qmg/app.bsky.feed.post/3m3v32pdli22r,moultano.bsky.social,"Elden Ring should probably be 200 bucks, and silk song should be 60.",0,8,2025-10-23T19:15:25.079Z
at://did:plc:dlsrrrnudstjzbbscoszvrj5/app.bsky.feed.post/3m3v2gidsxs2m,megamonkeymike.bsky.social,Silk song day 7 twitch.tv/mega_monkey_...,0,2,2025-10-23T19:04:06.659Z
at://did:plc:7pt3wil6q3t2vgokqv6z2mo4/app.bsky.feed.post/3m3uxvfmnvk2t,mmmmmmuhh.bsky.social,team cherry putting stuff in silk song exclusive to steel soul mode tracks and is pretty funny actually,0,6,2025-10-23T18:18:45.894Z
at://did:plc:7dknpwtetarqznfdm33vbwyr/app.bsky.feed.post/3m3us5exxc22w,lsdfdp.bsky.social,atrazada mas hj sem falta indo de silk song,0,3,2025-10-23T16:35:51.193Z
at://did:plc:4wpnyyj6cwhcmbxjnwdxoiwr/app.bsky.feed.post/3m3uagwrook2y,cartilynvega.bsky.social,"it's payday soon, should I get Hollow Knight & Silk Song, Digimon Cyber Sleuth, or Digimon Time Stranger first? 🤔",0,0,2025-10-23T11:19:04.507Z
at://did:plc:tepzylxa4b7gp4pfcn6gh3n6/app.bsky.feed.post/3m3twbmaxok24,destiny-smasher.bsky.social,"Those devs appear to be getting paid as little as possible to work as fast as possible.

This feels like a straw man to me.

Look at a game like Silk Song or Hades 2 instead. Devs got to take their time! The games are not 3D graphical POWERHOUSES but they look great due to ART DESIGN.",0,1,2025-10-23T08:17:08.282Z
at://did:plc:ercmc73c74tvoki7g3wllerr/app.bsky.feed.post/3m3tompugtk2v,infamousliberal70.bsky.social,"Xbox: 

- published 12 1st party games in 2025

- XGP has 60+ day and date games in 2025

- XGP has 3 goty contenders in its service so far in 2025 (Blue Prince, Silk Song, and 33 Expedition) 

- What does PS+ offer 😎
- How many games did PS publish in 2025 😎

If consoles are judged 

1 of 2",0,0,2025-10-23T06:00:11.231Z
at://did:plc:vlvmw6uz5qiifb5d6ackgtie/app.bsky.feed.post/3m3thruqucs25,9black.bsky.social,"Silk song and hallow knight would have had zero of the following if they cost 100 bucks each you fucking clowns. The studio is going to be fine at the price point they set as long as they don't get bought up and stripped for parts, the AAA studios are falling because of the mega corps not low prices",0,0,2025-10-23T03:57:47.936Z
at://did:plc:uncuulghlhys77l62tbyd7bc/app.bsky.feed.post/3m3tgih6oi225,eimie7.bsky.social,"shaw

#art #sketch #silksong #shaw",1,16,2025-10-23T03:34:37.968Z
at://did:plc:rx3v6x4vdzamb4ntjz7fhws4/app.bsky.feed.post/3m3tfewna7k24,jlray.bsky.social,Silk Song being the price of a single movie ticket feels like a bad state of affairs for both gaming and movies,1,132,2025-10-23T03:14:46.222Z
at://did:plc:j7wntekn74ytrz6gfebfqbaa/app.bsky.feed.post/3m3t54gmnw224,ozgand.bsky.social,Silk Song is out so I'm playing the first one. twitch.tv/ozgand,0,3,2025-10-23T00:46:51.056Z
at://did:plc:6zj2vdeqh3huf4fpr6ff5i2t/app.bsky.feed.post/3m3t47msrcc2x,bemilyonhere.bsky.social,there wasn't a hollow knight or silk song flavored gfuel was there,0,3,2025-10-23T00:30:44.469Z
at://did:plc:2vqiybsgitqzo2fqaoy2hnml/app.bsky.feed.post/3m3syxanaf22g,pharaohosyris.bsky.social,"We're Live! The song of Silk reaches a Crescendo!
Drop by for chill vibes :3

Twitch.tv/pharaohosyris
#Vtuber #ENVtuber #Silksong #hollowknight",0,1,2025-10-22T23:32:22.045Z
at://did:plc:poe4a4ibwufgdjh5p2oyh2bu/app.bsky.feed.post/3m3sstowuls2u,echofar.bsky.social,Listening to “Greymoor” on repeat at work to match the gloomy vibe. 🫠,0,3,2025-10-22T21:43:00.367Z
at://did:plc:dlsrrrnudstjzbbscoszvrj5/app.bsky.feed.post/3m3sjpunbnk2u,megamonkeymike.bsky.social,spooky vid then some more Silk song day 6 twitch.tv/mega_monkey_...,0,0,2025-10-22T18:59:48.450Z
at://did:plc:w6trwwkv3smzn3m22kuyvgop/app.bsky.feed.post/3m3sfduct5s2a,snacklotus.bsky.social,Silk song steel soul runs are slowly draining what little will I have left 😭😭,0,1,2025-10-22T17:41:30.492Z
at://did:plc:dgvcic64ya3f4mwfh63ozbgf/app.bsky.feed.post/3m3s63vmu422f,wgwgsa.net,no but for real the thing about silk song act 3 is that it is more difficult than act 2 and act 1 because of all of the horrible things that are happening. it's crazy,0,2,2025-10-22T15:31:47.240Z
at://did:plc:6wf5hkxrumgefdkjaqdwj4i5/app.bsky.feed.post/3m3s63q2my224,samanthak.bsky.social,"Every time i look around there's Silk song. Not complaining, i'm starting to think about buying it",0,1,2025-10-22T15:31:41.400Z
at://did:plc:2hlqoz57243xwnswmgihs356/app.bsky.feed.post/3m3s5lpk3ls2s,arnettjonathan.bsky.social,I'm half way through time strangers and need to pick silk song back up after I finish FF16,0,2,2025-10-22T15:22:43.987Z
at://did:plc:eklt2idxirq33vttisihi4le/app.bsky.feed.post/3m3qs3wlguk2i,lmaonadestand.bsky.social,you do not “play silksong” okay you silk. you up silking. you silk your song and thats it,2,24,2025-10-22T02:24:23.603Z
at://did:plc:qqxsbxspptbu2jj75esihts4/app.bsky.feed.post/3m3qr6upclc2f,thefairyartmother.bsky.social,Well now it’s HUGE.,1,12,2025-10-22T02:08:08.537Z
